id	qihao	riqi	shunxu1	shunxu2	shunxu3	shunxu4	shunxu5	shunxu6	lan	hsorts	hmd5	amd5
1	203001	2003-02-23	26	28	11	13	10	12	11	10,11,12,13,26,28	012e500a279950c57c26f59b31c32247	559632d6e643d4d1505f4aa3b09b8784
2	203002	2003-02-27	9	4	26	21	19	20	12	4,9,19,20,21,26	6a265b9a0c175ddcc07ed83f1daa0625	a6eb5511679533051753126b9353215a
3	203003	2003-03-02	23	7	28	10	1	32	16	1,7,10,23,28,32	a8b2c4785b2212aba03ed5ac26c2d46e	97164b7f1f894a5c0688651b83d558c7
4	203004	2003-03-06	13	4	7	25	6	10	3	4,6,7,10,13,25	afe8ab8fdc770df7fabb5d94af4df109	eb1bb4df13eaaece2e1198a994672e8b
5	203005	2003-03-09	4	30	17	15	31	6	16	4,6,15,17,30,31	d73b549795bf671d303227cd43b6bab2	29329cfdc25993e17bac70ad3cc6fc63
6	203006	2003-03-13	1	10	27	26	21	3	6	1,3,10,21,26,27	fa3b4b5a2713d1c50d9d5c07fee62b32	3c0eef4cf2dafa5daf4efd24d00a2797
7	203007	2003-03-16	23	19	9	26	1	21	7	1,9,19,21,23,26	ff75a3100063ec99439482d6ad1b555b	9f37a504c814dcfe328ac9a2e56d1ca6
8	203008	2003-03-20	9	8	17	23	14	5	8	5,8,9,14,17,23	ea29d86d22d4a09c6a2ac509247db182	4e6797ed61642f53cbc2850e5340988f
9	203009	2003-03-23	30	18	9	22	5	20	9	5,9,18,20,22,30	9f989642e38bf89702b9fe6ec74f5817	d16daad3a84d761fc26506de99a4c16c
10	203010	2003-03-27	1	17	24	8	2	13	13	1,2,8,13,17,24	d44d6e6ac9761176d9b7a14f137fb457	f0b4358923ada3d24871f0c783e5078f
11	203011	2003-03-30	12	11	30	4	5	32	15	4,5,11,12,30,32	300e590cd0c5b1e4c5ff89cb9a3480c5	c0917224c461271cad344e10e4d5da71
12	203012	2003-04-03	17	2	12	16	27	30	12	2,12,16,17,27,30	1539d4f916a0529bd9d4e0f54e4bede8	3457de2d16c86076ce5669d97aed189e
13	203013	2003-04-06	23	13	8	32	17	21	12	8,13,17,21,23,32	607c981d540048065c3f0315fcdc3005	4f1c0ce8fd3d01a6171af8fc1c5b0eca
14	203014	2003-04-10	3	21	7	31	8	5	2	3,5,7,8,21,31	1b24fad4b600b64068ada58c6c98200f	b21832c58113ad23c365ed757f20ff07
15	203015	2003-04-13	25	26	4	11	32	19	13	4,11,19,25,26,32	a6940925bce45118086bc13c3a80e948	ac726c1e20ad95083ef9942fc175535a
16	203016	2003-04-17	30	33	11	17	28	31	6	11,17,28,30,31,33	ef13cd4787232524f3a9d1f51e3ff3af	411fc3e87159125308246a2514768eaf
17	203017	2003-04-20	25	31	18	8	5	23	6	5,8,18,23,25,31	4f3cee39630f54f7534f674f1fe739d1	55dd6375c942c21ae4670e8b9253a9bf
18	203018	2003-04-24	16	20	5	19	25	28	13	5,16,19,20,25,28	424a26550204d44bd3b36fa8ab561679	fd75469c03360e49e1b39be0aeab8be0
19	203019	2003-04-27	12	33	13	8	16	4	9	4,8,12,13,16,33	4312251005ad97a67247f79c71068d26	c0fd4b4af1dc176ce8b61f115d0c82c0
20	203020	2003-05-01	26	25	27	32	10	7	4	7,10,25,26,27,32	774ad4200bbc4ae7da5186e2296383d2	d7e4b0e1feb4da566340f5e6e6dadf34
21	203021	2003-05-04	15	18	30	26	25	14	1	14,15,18,25,26,30	b05e364bd9e18017a85743aa5560730b	7529b658810e3424cdcaf3b818576212
22	203022	2003-05-08	14	2	32	11	7	12	8	2,7,11,12,14,32	8cda4b7c08da55353ea8cd333f627448	3da17898195990d4c276108a365650c4
